ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 04/05/2026;COBERTURA;IMPORTE AFILIADO
58851;tramadol;TRAMAGESIC;comp.ran. x 30;Baliarda;$ 23813.13;50%;$ 11906.57
33532;trimebutina;EUMOTIL;100 mg comp.x 20;Baliarda;$ 4932.82;50%;$ 2466.41
33534;trimebutina;EUMOTIL;200 mg comp.x 20;Baliarda;$ 10239.25;50%;$ 5119.63
46010;trimebutina;EUMOTIL;200 mg comp.x 30;Baliarda;$ 15140.9;50%;$ 7570.45
33535;trimebutina;EUMOTIL;200 mg comp.x 40;Baliarda;$ 19768.22;50%;$ 9884.11
34365;trimebutina;EUMOTIL 300;300 mg comp.lib.prol.x30;Baliarda;$ 18523.87;50%;$ 9261.94
36104;trimebutina+bromazepam;EUMOTIL-T;comp.ran.x 20;Baliarda;$ 11296.46;40%;$ 6777.88
36105;trimebutina+bromazepam;EUMOTIL-T;comp.ran.x 50;Baliarda;$ 28677.44;40%;$ 17206.46
46132;trimebutina+simeticona;EUMOTIL S;comp.rec.x 30;Baliarda;$ 19375.5;40%;$ 11625.3
49712;trimebutina+simeticona;EUMOTIL S;comp.rec.x 60;Baliarda;$ 31963.03;40%;$ 19177.82
38034;valsartán;SARVAL;160 mg comp.rec.x 15;Baliarda;$ 18808.78;60%;$ 7523.51
38035;valsartán;SARVAL;160 mg comp.rec.x 30;Baliarda;$ 37042.26;60%;$ 14816.9
61762;valsartán;SARVAL;160 mg comp.rec.x 60;Baliarda;$ 55031.33;60%;$ 22012.53
44573;valsartán;SARVAL;320 mg comp.rec.x 30;Baliarda;$ 40256.35;60%;$ 16102.54
38032;valsartán;SARVAL;80 mg comp.rec.x 15;Baliarda;$ 14497.62;60%;$ 5799.05
38033;valsartán;SARVAL;80 mg comp.rec.x 30;Baliarda;$ 28527.73;60%;$ 11411.09
61761;valsartán;SARVAL;80 mg comp.rec.x 60;Baliarda;$ 41947.16;60%;$ 16778.86
46137;valsartán+amlodipina;DISARVAL;160/10 mg comp.rec.x 30;Baliarda;$ 45932.32;50%;$ 22966.16
63176;valsartán+amlodipina;DISARVAL;160/10 mg comp.rec.x 60;Baliarda;$ 72969.79;50%;$ 36484.9
46135;valsartán+amlodipina;DISARVAL;160/5 mg comp.rec.x 30;Baliarda;$ 44420.82;50%;$ 22210.41
63175;valsartán+amlodipina;DISARVAL;160/5 mg comp.rec.x 60;Baliarda;$ 70435.92;50%;$ 35217.96
50531;valsartán+amlodipina;DISARVAL;320/10 mg comp.rec.x 30;Baliarda;$ 54319.69;50%;$ 27159.85
50530;valsartán+amlodipina;DISARVAL;320/5 mg comp.rec.x 30;Baliarda;$ 52546.95;50%;$ 26273.48
51286;valsartán+hidrocloroti.+amlodip.;DISARVAL D;160/12.5/10 mg comp.x 30;Baliarda;$ 56245.94;50%;$ 28122.97
51285;valsartán+hidrocloroti.+amlodip.;DISARVAL D;160/12.5/5 mg comp.x 30;Baliarda;$ 55436.44;50%;$ 27718.22
63735;valsartán+hidrocloroti.+amlodip.;DISARVAL D;160/25/10mg comp.rec.x30;Baliarda;$ 50621.35;50%;$ 25310.68
63736;valsartán+hidrocloroti.+amlodip.;DISARVAL D;160/25/5 mg comp.rec.x30;Baliarda;$ 49892.81;50%;$ 24946.41
54225;valsartán+hidrocloroti.+amlodip.;DISARVAL D;320/25/10 mg comp.x 30;Baliarda;$ 57153.65;50%;$ 28576.83
40260;valsartán+hidroclorotiazida;SARVAL D 160/12.5;160/12.5 mg comp.rec.x30;Baliarda;$ 31788.1;50%;$ 15894.05
63172;valsartán+hidroclorotiazida;SARVAL D 160/12.5;160/12.5 mg comp.rec.x60;Baliarda;$ 57218.56;50%;$ 28609.28
50528;valsartán+hidroclorotiazida;SARVAL D 160/25;160/25 mg comp.rec.x 30;Baliarda;$ 42450.81;50%;$ 21225.41
63173;valsartán+hidroclorotiazida;SARVAL D 160/25;160/25 mg comp.rec.x 60;Baliarda;$ 74547.74;50%;$ 37273.87
51695;valsartán+hidroclorotiazida;SARVAL D 320/12.5;320/12.5 mg comp.rec.x30;Baliarda;$ 43673.24;50%;$ 21836.62
51696;valsartán+hidroclorotiazida;SARVAL D 320/25;320/25 mg comp.rec.x30;Baliarda;$ 43970.42;50%;$ 21985.21
63174;valsartán+hidroclorotiazida;SARVAL D 320/25;320/25 mg comp.rec.x60;Baliarda;$ 79145.63;50%;$ 39572.82
40259;valsartán+hidroclorotiazida;SARVAL D 80/12.5;80/12.5 mg comp.rec.x 30;Baliarda;$ 28512.59;50%;$ 14256.3
44549;venlafaxina;VENLIFAX XR 150;150 mg cáps.lib.prol.x28;Baliarda;$ 37125.59;50%;$ 18562.8
44547;venlafaxina;VENLIFAX XR 37.5;37.5mg cáps.lib.prol.x14;Baliarda;$ 13366.76;50%;$ 6683.38
44548;venlafaxina;VENLIFAX XR 75;75 mg cáps.lib.prol.x 28;Baliarda;$ 27778.99;50%;$ 13889.5
60119;vildagliptin+metformina;VI-BALIGLUC;50/1000 mg comp.rec.x 30;Baliarda;$ 50023.72;100%;$ 0
60120;vildagliptin+metformina;VI-BALIGLUC;50/1000 mg comp.rec.x 60;Baliarda;$ 95430.13;100%;$ 0
60115;vildagliptin+metformina;VI-BALIGLUC;50/500 mg comp.rec.x 30;Baliarda;$ 44020.99;100%;$ 0
60116;vildagliptin+metformina;VI-BALIGLUC;50/500 mg comp.rec.x 60;Baliarda;$ 84040.01;100%;$ 0
60117;vildagliptin+metformina;VI-BALIGLUC;50/850 mg comp.rec.x 30;Baliarda;$ 43097.51;100%;$ 0
60118;vildagliptin+metformina;VI-BALIGLUC;50/850 mg comp.rec.x 60;Baliarda;$ 83116.58;100%;$ 0
54898;vit.d3;DEVISAL CB;cáps.bl.x 1;Baliarda;$ 12058.46;40%;$ 7235.08
59870;vit.d3;DEVISAL CB 50000;cáps.bl.x 2;Baliarda;$ 14213.13;40%;$ 8527.88
54541;vit.d3;DEVISAL CB;cáps.bl.x 2;Baliarda;$ 19269.87;40%;$ 11561.92
51630;vit.d3;DEVISAL;f.a.bebible x 2 ml;Baliarda;$ 9489.49;40%;$ 5693.69
36111;zolpidem;DORMILAN;10 mg comp.ran.x 30;Baliarda;$ 14290.75;50%;$ 7145.38
41502;acetilsalicílico,ác.;ASPIRINA PREVENT;comp.cub.enterica x 20;Bayer (PH);$ 3610.67;60%;$ 1444.27
44878;acetilsalicílico,ác.;ASPIRINA PREVENT 325;comp.cub.enterica x 30;Bayer (PH);$ 749.44;60%;$ 299.78
41503;acetilsalicílico,ác.;ASPIRINA PREVENT;comp.cub.enterica x 50;Bayer (PH);$ 7883.18;60%;$ 3153.27
44879;acetilsalicílico,ác.;ASPIRINA PREVENT 325;comp.cub.enterica x 60;Bayer (PH);$ 13046.63;60%;$ 5218.65
34782;ciprofloxacina;CIPRO XR;1000 mg comp.x 7;Bayer (PH);$ 768.15;60%;$ 307.26
23768;ciprofloxacina;CIPRO;50 mg/ml susp.x 100 ml;Bayer (PH);$ 69849.98;60%;$ 27939.99
16136;estradiol+ciproterona;CLIMENE;grag.x 21;Bayer (PH);$ 443.2;50%;$ 221.6
8304;estradiol+hidroxiprogesterona;PRIMOSISTON;IM iny.a.x 1 ml;Bayer (PH);$ 10730.43;50%;$ 5365.22
14785;estradiol+noretisterona;MESIGYNA;iny.IM a.x 1 ml;Bayer (PH);$ 6953.63;50%;$ 3476.82
1211;fenobarbital;LUMINALETAS;comp.x 30;Bayer (PH);$ 9534.27;80%;$ 1906.85
17477;fenobarbital;LUMINAL;comp.x 60;Bayer (PH);$ 24990.03;80%;$ 4998.01
8310;hidroxiprogesterona;PROLUTON DEPOT;500 mg IM iny.a.ol.x 2ml;Bayer (PH);$ 15664.4;50%;$ 7832.2
2784;isoconazol;MUPATEN VAGINAL;600 mg blist.ov.x 1;Bayer (PH);$ 1457.98;50%;$ 728.99
8292;isoconazol;MUPATEN VAGINAL;cr.x 40 g;Bayer (PH);$ 1264.91;50%;$ 632.46
23301;levonorgestrel+etinilestradiol;MIRANOVA;grag.x 21;Bayer (PH);$ 4895.43;50%;$ 2447.72
25691;moxifloxacina;AVELOX;400 mg comp.rec.x 5;Bayer (PH);$ 2393.2;80%;$ 478.64
26444;moxifloxacina;AVELOX;400 mg comp.rec.x 7;Bayer (PH);$ 41259.04;80%;$ 8251.81
43812;moxifloxacina;AVELOX I.V.;400 mg sol.p/inf.x 250ml;Bayer (PH);$ 33713.96;80%;$ 6742.79
23767;nifedipina;ADALAT OROS;20 mg comp.x 30;Bayer (PH);$ 469.85;60%;$ 187.94
3749;nifedipina;ADALAT OROS;60 mg comp.x 20;Bayer (PH);$ 505.64;60%;$ 202.26
8483;nimodipina;NIMOTOP;30 mg comp.x 60;Bayer (PH);$ 534.06;50%;$ 267.03
43411;rivaroxabán;XARELTO;10 mg comp.x 10;Bayer (PH);$ 127632.72;50%;$ 63816.36
47809;rivaroxabán;XARELTO;15 mg comp.x 14;Bayer (PH);$ 4919.94;50%;$ 2459.97
47810;rivaroxabán;XARELTO;15 mg comp.x 28;Bayer (PH);$ 165911.49;50%;$ 82955.75
51025;rivaroxabán;XARELTO;2.5 mg x 56 comp.;Bayer (PH);$ 163411.86;50%;$ 81705.93
47811;rivaroxabán;XARELTO;20 mg comp.x 14;Bayer (PH);$ 11795.75;50%;$ 5897.88
47812;rivaroxabán;XARELTO;20 mg comp.x 28;Bayer (PH);$ 174360.62;50%;$ 87180.31
8316;testosterona;TESTOVIRON DEPOT;250 mg IM iny.a.ol.x 1ml;Bayer (PH);$ 25566.73;50%;$ 12783.37
42098;vardenafil;LEVITRA;20 mg comp.x 2;Bayer (PH);$ 467.98;50%;$ 233.99
42099;vardenafil;LEVITRA;20 mg comp.x 4;Bayer (PH);$ 869.68;50%;$ 434.84
10148;difluocortolona+asoc.;SCHERIDERM;cr.x 20 g;Bayer Consumer;$ 5541.26;50%;$ 2770.63
63504;ibuprofeno;ACTRON 600 RAPIDA ACCION NUEVA FORMULA;cáps.gelat.blanda x 10;Bayer Consumer;$ 9517;40%;$ 5710.2
63505;ibuprofeno;ACTRON 600 RAPIDA ACCION NUEVA FORMULA;cáps.gelat.blanda x 20;Bayer Consumer;$ 17035;40%;$ 10221
46707;ibuprofeno;ACTRON PEDIATRICO 4%;susp.oral x 100 ml;Bayer Consumer;$ 14496;40%;$ 8697.6
8289;isoconazol;MUPATEN;cr.x 20 g;Bayer Consumer;$ 2994.14;50%;$ 1497.07
15702;paracetamol+clorfeniramina+asoc.;TABCIN COMPUESTO;cáps.x 12;Bayer Consumer;$ 5210;40%;$ 3126
15703;paracetamol+clorfeniramina+asoc.;TABCIN COMPUESTO;cáps.x 20;Bayer Consumer;$ 8482;40%;$ 5089.2
33968;tiras reactivas;ASCENSIA ENTRUST;sensores x 50;Bayer Consumer;$ 568.31;100%;$ 0
26701;vit.+minerales;BEROCCA PLUS;comp.eferv.x 10;Bayer Consumer;$ 15314.99;40%;$ 9188.99
26702;vit.+minerales;BEROCCA PLUS;comp.eferv.x 30;Bayer Consumer;$ 36617.01;40%;$ 21970.21
8102;vit.+minerales;CAL C VITA;comp.eferv.x 30;Bayer Consumer;$ 27690.99;40%;$ 16614.59
28663;vit.+minerales;CAL C VITA FLUOR;comp.eferv.x 30;Bayer Consumer;$ 11703.84;40%;$ 7022.3
19439;vit.+minerales;SUPRADYN PRONATAL;comp.laq.x 30;Bayer Consumer;$ 32862.99;40%;$ 19717.79
26703;vit.+minerales;BEROCCA PLUS;comp.laq.x 30;Bayer Consumer;$ 24423.01;40%;$ 14653.81
31052;vit.+minerales;SUPRADYN PRONATAL;comp.laq.x 90;Bayer Consumer;$ 83007.98;40%;$ 49804.79
25911;vit.+minerales;SUPRADYN FORTE;eferv.comp.x10 nar.s/az.;Bayer Consumer;$ 14721;40%;$ 8832.6
25912;vit.+minerales;SUPRADYN FORTE;eferv.comp.x30 nar.s/az.;Bayer Consumer;$ 35330.99;40%;$ 21198.59
25910;vit.+minerales;SUPRADYN FORTE;grag.x 30;Bayer Consumer;$ 23586;40%;$ 14151.6
53873;vit.+minerales;SUPRADYN FORTE;grag.x 60;Bayer Consumer;$ 42605.98;40%;$ 25563.59
26109;vit.b,complejo;BECOZYM NF;a.x 6;Bayer Consumer;$ 16021.01;40%;$ 9612.61
7626;vit.b,complejo;COBENEXOL FUERTE;comp.laq.x 30;Bayer Consumer;$ 32017;40%;$ 19210.2
28894;vit.b,complejo;BECOZYM;grag.x 30;Bayer Consumer;$ 12528.99;40%;$ 7517.39
7535;vit.c;REDOXON;eferv.2 g comp.x10 Limón;Bayer Consumer;$ 12557;40%;$ 7534.2
7922;vit.c;REDOXON;eferv.2 g comp.x30 Limón;Bayer Consumer;$ 30107;40%;$ 18064.2
14988;vit.c+vit.e+betacaroteno+asoc.;LAROTABE;cáps.x 30;Bayer Consumer;$ 26786.99;40%;$ 16072.19
50368;acetilcarnitina;NEUREX;500 mg comp.x 40;Beta;$ 65858.71;50%;$ 32929.36
52064;acetilcisteína;DOSOMUK;600 mg comp.dispers.x 10;Beta;$ 15887.74;40%;$ 9532.64
52065;acetilcisteína;DOSOMUK;600 mg comp.dispers.x 20;Beta;$ 25927.03;40%;$ 15556.22
51917;ambroxol+butamirato+clorfeniram.;MUCO DOSODOS;jbe.x 150 ml;Beta;$ 37262.31;50%;$ 18631.16
36861;aripiprazol;SIBLIX;10 mg comp.x 30;Beta;$ 31422.96;50%;$ 15711.48
36863;aripiprazol;SIBLIX;15 mg comp.x 30;Beta;$ 45843.18;50%;$ 22921.59
56901;aripiprazol;SIBLIX;5 mg comp.x 30;Beta;$ 24696.93;50%;$ 12348.47
24436;atorvastatín;ATEROCLAR;10 mg comp.rec.x 30;Beta;$ 37487.84;60%;$ 14995.14
40643;atorvastatín;ATEROCLAR;10 mg comp.rec.x 60;Beta;$ 1738.38;60%;$ 695.35
24438;atorvastatín;ATEROCLAR;20 mg comp.rec.x 30;Beta;$ 56184.66;60%;$ 22473.86
28943;atorvastatín;ATEROCLAR;40 mg comp.rec.x 30;Beta;$ 67720.57;60%;$ 27088.23
36604;atorvastatín+ezetimibe;ATEROCLAR DUO;10/10 mg blíst.x 30+30;Beta;$ 2687.54;50%;$ 1343.77
42267;atorvastatín+ezetimibe;ATEROCLAR COMBI;10/10 mg comp.x 30;Beta;$ 38993.09;50%;$ 19496.55
36605;atorvastatín+ezetimibe;ATEROCLAR DUO;20/10 mg blíst.x 30+30;Beta;$ 3223.77;50%;$ 1611.89
42268;atorvastatín+ezetimibe;ATEROCLAR COMBI;20/10 mg comp.x 30;Beta;$ 50355.32;50%;$ 25177.66
17583;azitromicina;TRIAMID;500 mg comp.rec.x 3;Beta;$ 14734.64;60%;$ 5893.86
22117;azitromicina;TRIAMID;500 mg comp.rec.x 5;Beta;$ 18771.46;60%;$ 7508.58
52660;azitromicina;TRIAMID;500 mg comp.rec.x 6;Beta;$ 22337.07;60%;$ 8934.83
1350;butamirato,citrato;DOSODOS;gts.x 15 ml;Beta;$ 11354.93;50%;$ 5677.47
51916;butamirato,citrato;DOSODOS;jbe.x 150 ml;Beta;$ 28759.57;50%;$ 14379.79
26682;cabergolina;LACTAMAX;0.5 mg comp.x 2;Beta;$ 18472.91;80%;$ 3694.58
26683;cabergolina;LACTAMAX;0.5 mg comp.x 8;Beta;$ 58461.49;80%;$ 11692.3
28928;calcio,carbonato+vit.d3;TAXUS 400;400 mg comp.mast.x 30;Beta;$ 8976.02;40%;$ 5385.61
49668;ciproheptadina+calcio+asoc.;CIPROVIT CALCICO;comp.blíst.x 60;Beta;$ 52726.17;50%;$ 26363.09
50366;ciproheptadina+calcio+asoc.;CIPROVIT CALCICO;jbe.x 150 ml;Beta;$ 65151.96;50%;$ 32575.98
158;ciproheptadina+vit.+asoc.;CIPROVIT MAGNESICO;gran.sob.x 20;Beta;$ 43085.23;40%;$ 25851.14
36151;claritromicina;CLAROVIL UD;500 mg comp.lib.prol.x 4;Beta;$ 9461.92;60%;$ 3784.77
36152;claritromicina;CLAROVIL UD;500 mg comp.lib.prol.x 8;Beta;$ 18028.84;60%;$ 7211.54
36150;claritromicina;CLAROVIL;500 mg comp.rec.x 16;Beta;$ 33278.15;60%;$ 13311.26
46392;claritromicina;CLAROVIL;500 mg comp.rec.x 8;Beta;$ 17248.66;60%;$ 6899.46
31737;clonazepam;CLONAX RAPID;0.25 mg comp.subl.x 30;Beta;$ 5830.89;50%;$ 2915.45
28492;clonazepam;CLONAX;0.5 mg comp.x 30;Beta;$ 10655.31;50%;$ 5327.66
49155;clonazepam;CLONAX;0.5 mg comp.x 50;Beta;$ 16383.79;50%;$ 8191.9
34302;clonazepam;CLONAX;1 mg comp.x 30;Beta;$ 12581.48;50%;$ 6290.74
49156;clonazepam;CLONAX;1 mg comp.x 50;Beta;$ 16383.79;50%;$ 8191.9
28493;clonazepam;CLONAX;2 mg comp.x 30;Beta;$ 12900.28;80%;$ 2580.06
49157;clonazepam;CLONAX;2 mg comp.x 50;Beta;$ 16383.79;80%;$ 3276.76
31738;condroitín,sulfato+glucosamina;MECANYL DUO;cáps.x 30;Beta;$ 22939.82;40%;$ 13763.89
31739;condroitín,sulfato+glucosamina;MECANYL DUO;cáps.x 60;Beta;$ 50179.49;40%;$ 30107.69
40373;condroitín,sulfato+glucosamina;MECANYL K DUO;gran.sob.x 30;Beta;$ 15813.9;40%;$ 9488.34
33150;condroitín,sulfato+glucosamina;MECANYL DUO;gran.sob.x 30;Beta;$ 24620.35;40%;$ 14772.21
61836;dapagliflozina;GLICINAL;10 mg comp.x 28;Beta;$ 64909.26;100%;$ 0
54356;diacereína+sulf.glucosamina pot.;MECANYL COMPLEX;cáps.x 60;Beta;$ 33723.91;50%;$ 16861.96
2917;diclofenac dietilamina;OXA GEL;gel x 100 g;Beta;$ 28755.08;40%;$ 17253.05
13312;diclofenac dietilamina;OXA GEL;gel x 50 g;Beta;$ 17283.39;40%;$ 10370.03
10161;diclofenac potásico;OXA 50;50 mg comp.rec.x 15;Beta;$ 8108.94;40%;$ 4865.36
1390;diclofenac potásico;OXA 50;50 mg comp.rec.x 30;Beta;$ 14868.2;40%;$ 8920.92
1391;diclofenac potásico;OXA 75;75 mg iny.a.x 6 x 3 ml;Beta;$ 2667.95;40%;$ 1600.77
35298;diclofenac potásico+paracetamol;OXAGESIC;comp.rec.x 100;Beta;$ 686.67;40%;$ 412
10165;diclofenac potásico+paracetamol;OXAGESIC;comp.rec.x 15;Beta;$ 14629.99;40%;$ 8777.99
49976;diclofenac potásico+paracetamol;OXAGESIC FORTE;comp.rec.x 15;Beta;$ 16414.05;40%;$ 9848.43
49975;diclofenac potásico+paracetamol;OXAGESIC FORTE;comp.rec.x 30;Beta;$ 31468.9;40%;$ 18881.34
1394;diclofenac potásico+paracetamol;OXAGESIC;comp.rec.x 30;Beta;$ 23106.66;40%;$ 13864
34373;diclofenac sódico;OXA 75 RAPILENT;comp.rec.x 100;Beta;$ 796.4;40%;$ 477.84
57006;diclofenac sódico;OXA 75;comp.rec.x 15;Beta;$ 15912.61;40%;$ 9547.57
10162;diclofenac sódico;OXA RETARD;comp.rec.x 15;Beta;$ 522.18;40%;$ 313.31
37441;diclofenac sódico;OXA 100;comp.rec.x 15;Beta;$ 533.8;40%;$ 320.28
1395;diclofenac sódico;OXA RETARD;comp.rec.x 30;Beta;$ 1709.06;40%;$ 1025.44
37442;diclofenac sódico;OXA 100;comp.rec.x 30;Beta;$ 2657.98;40%;$ 1594.79
57007;diclofenac sódico;OXA 75;comp.rec.x 30;Beta;$ 31937.13;40%;$ 19162.28
29732;diclofenac sódico;OXA GEL PLUS;gel x 50 g;Beta;$ 20832.41;40%;$ 12499.45
22654;diclofenac sódico+codeína;OXA FORTE;comp.rec.x 20;Beta;$ 2138.45;40%;$ 1283.07
18299;diclofenac sódico+misoprostol;OXAPROST 75;comp.x 16;Beta;$ 264930.81;40%;$ 158958.49
10930;diclofenac sódico+misoprostol;OXAPROST;comp.x 16;Beta;$ 13903.89;40%;$ 8342.33
44870;diclofenac sódico+paracetamol;OXAGESIC CB;cáps.blandas x 20;Beta;$ 25102.06;40%;$ 15061.24
35297;diclofenac+pridinol;OXADISTEN;comp.rec.x 100;Beta;$ 835.31;40%;$ 501.19
10164;diclofenac+pridinol;OXADISTEN;comp.rec.x 20;Beta;$ 21433.38;40%;$ 12860.03
2921;diclofenac+pridinol;OXADISTEN;comp.rec.x 40;Beta;$ 35700.01;40%;$ 21420.01
20093;diclofenac+pridinol;OXADISTEN;cr.x 50 g;Beta;$ 27892.23;40%;$ 16735.34
42108;diclofenac+pridinol;OXADISTEN CB;cáps.blandas x 15;Beta;$ 21616.75;40%;$ 12970.05
10163;diclofenac+vit.b12+betametasona;OXA B12;comp.rec.x 15;Beta;$ 23455.34;40%;$ 14073.2
4867;diclofenac+vit.b12+betametasona;OXA B12;comp.rec.x 30;Beta;$ 44738.4;40%;$ 26843.04
55187;diclofenac+vit.b12+betametasona;OXA B12 I.M.;iny.a.x 3;Beta;$ 35169.78;40%;$ 21101.87
51355;diclofenac+vit.b12+betametasona;OXA B12 I.M.;iny.a.x 6;Beta;$ 55099.65;40%;$ 33059.79
3267;difenilhidantoinato ca+fenobarb.;LOTOQUIS 5;comp.x 100;Beta;$ 71596.33;80%;$ 14319.27
2574;difenilhidantoinato ca+fenobarb.;LOTOQUIS;comp.x 100;Beta;$ 67989.65;80%;$ 13597.93
4201;difenilhidantoinato de calcio;LOTOQUIS SIMPLE;comp.x 100;Beta;$ 77483.96;80%;$ 15496.79
40644;difenilhidantoinato de calcio;LOTOQUIS SIMPLE;comp.x 50;Beta;$ 32845.24;80%;$ 6569.05
49986;donepecilo;CRISTACLAR;10 mg comp.rec.x 30;Beta;$ 44285.42;50%;$ 22142.71
49984;donepecilo;CRISTACLAR;5 mg comp.rec.x 30;Beta;$ 38202.91;50%;$ 19101.46
55972;duloxetina;DOXALINE;30 mg comp.rec.x 15;Beta;$ 27331.24;50%;$ 13665.62
55973;duloxetina;DOXALINE;60 mg comp.rec.x 30;Beta;$ 58306.93;50%;$ 29153.47
52217;dutasteride;DOXATEN;0.5 mg cáps.x 30;Beta;$ 41839.46;50%;$ 20919.73
62447;empagliflozina;ETACRIL;10 mg comp.rec.x 30;Beta;$ 91140.47;100%;$ 0
62446;empagliflozina;ETACRIL;25 mg comp.rec.x 30;Beta;$ 98584.47;100%;$ 0
44872;escitalopram;AXIOMAT;10 mg comp.rec.x 30;Beta;$ 38828.78;50%;$ 19414.39
44865;escitalopram;AXIOMAT;20 mg comp.rec.x 30;Beta;$ 67150.87;50%;$ 33575.44
20491;espiramicina+metronidazol;ESTILOMICIN;comp.rec.x 20;Beta;$ 19645.57;50%;$ 9822.79
51566;estradiol;TRIAL GEL;gel x 80 g;Beta;$ 65203.88;50%;$ 32601.94
54764;estriol;MENOCLIM CREMA;cr.x 15 g;Beta;$ 22787.82;50%;$ 11393.91
45460;estriol;MENOCLIM;óv.x 10;Beta;$ 30607.76;50%;$ 15303.88
54007;etoricoxib;COXAL;120 mg comp.x 7;Beta;$ 15900.4;50%;$ 7950.2
54004;etoricoxib;COXAL;60 mg comp.x 28;Beta;$ 35994.36;50%;$ 17997.18
54005;etoricoxib;COXAL;90 mg comp.x 14;Beta;$ 27616.17;50%;$ 13808.09
54006;etoricoxib;COXAL;90 mg comp.x 28;Beta;$ 44811.16;50%;$ 22405.58
53356;fenofíbrico,ác.;LIPO PLUS C;135mg comp.lib.prol.x30;Beta;$ 2351.95;60%;$ 940.78
51220;gliclazida;AGLUCIDE MR 60;60 mg comp.lib.mod.x 30;Beta;$ 30327.93;100%;$ 0
51219;gliclazida;AGLUCIDE MR 60;60 mg comp.lib.mod.x 60;Beta;$ 58058.72;100%;$ 0
27073;glucosamina;MECANYL;1500 mg gran.sob.x 30;Beta;$ 13450.49;40%;$ 8070.29
39788;glucosamina,potásica;MECANYL K;1500 mg gran.sob.x 30;Beta;$ 12425.33;40%;$ 7455.2
39372;ibandrónico,ác.;MODIFICAL;150 mg comp.rec.x 1;Beta;$ 4823.56;50%;$ 2411.78
40374;ibandrónico,ác.+asoc.;MODIFICAL DUO;comp.rec.x1+comp.mastx30;Beta;$ 5698.08;50%;$ 2849.04
39147;lamotrigina;LAGOTRAN;100 mg comp.dispers.x 15;Beta;$ 552.29;60%;$ 220.92
33153;lamotrigina;LAGOTRAN;100 mg comp.dispers.x 30;Beta;$ 53761.48;60%;$ 21504.59
41730;lamotrigina;LAGOTRAN;200 mg comp.dispers.x 30;Beta;$ 88550.5;60%;$ 35420.2
33151;lamotrigina;LAGOTRAN;25 mg comp.dispers.x 30;Beta;$ 16947.36;60%;$ 6778.94
33152;lamotrigina;LAGOTRAN;50 mg comp.dispers.x 30;Beta;$ 30306.17;60%;$ 12122.47
25983;leflunomida;INMUNOARTRO;20 mg comp.rec.x 30;Beta;$ 38944.08;50%;$ 19472.04
58508;levetiracetam;LEPTAM;1000 mg comp.rec.x 30;Beta;$ 127526.54;50%;$ 63763.27
3833;lisinopril;LISINAL 20;comp.x 30;Beta;$ 1164.58;60%;$ 465.83
3832;lisinopril;LISINAL 10;comp.x 30;Beta;$ 1558.26;60%;$ 623.3
1464;llantén+senósidos a y b;MEDILAXAN;gran.fco.x 250 g;Beta;$ 16280.49;50%;$ 8140.25
45317;memantine;CONEXINE 20;20 mg comp.rec.x 30;Beta;$ 49313.37;50%;$ 24656.69
29132;memantine;CONEXINE;comp.rec.x 30;Beta;$ 37147.16;50%;$ 18573.58
47107;metformina+pioglitazona;CERELUC MET;15/500 mg comp.x 30;Beta;$ 51165;50%;$ 25582.5
47109;metformina+pioglitazona;CERELUC MET;15/850 mg comp.x 30;Beta;$ 53417.68;50%;$ 26708.84
28155;miconazol+metronidazol+asoc.;GINAL CENT;cáps.blandas vag.x 6;Beta;$ 17284.47;40%;$ 10370.68
49669;modafinilo;VIGICER;200 mg comp.x 15;Beta;$ 35492.73;50%;$ 17746.37
49670;modafinilo;VIGICER;200 mg comp.x 30;Beta;$ 66928.42;50%;$ 33464.21
27069;mosapride;INTESUL;5 mg comp.rec.x 30;Beta;$ 18913.05;50%;$ 9456.53
27070;mosapride;INTESUL;5 mg comp.rec.x 60;Beta;$ 32555.1;50%;$ 16277.55
52954;olanzapina;TREXOL;10 mg comp.rec.x 28;Beta;$ 141620.19;50%;$ 70810.1
52951;olanzapina;TREXOL;5 mg comp.rec.x 28;Beta;$ 69629.92;50%;$ 34814.96
61277;otilonio,bromuro;PASMINOX;40 mg comp.x 60;Beta;$ 25963.7;50%;$ 12981.85
13539;otilonio,bromuro;PASMINOX 40;comp.rec.x 20;Beta;$ 17332.36;50%;$ 8666.18
13540;otilonio,bromuro+diazepam;PASMINOX SOMATICO 40;comp.rec.x 20;Beta;$ 19725.97;50%;$ 9862.99
28151;paroxetina;PSICOASTEN 10 MG;10 mg comp.rec.x 30;Beta;$ 23330.86;50%;$ 11665.43
34305;paroxetina;PSICOASTEN LC;12.5 mg comp.rec.x 30;Beta;$ 36836.77;50%;$ 18418.39
22116;paroxetina;PSICOASTEN;20 mg comp.rec.x 30;Beta;$ 44354.71;50%;$ 22177.36
34307;paroxetina;PSICOASTEN LC;25 mg comp.rec.x 30;Beta;$ 42294.76;50%;$ 21147.38
34308;paroxetina;PSICOASTEN LC;37.5 mg comp.rec.x 30;Beta;$ 33721.54;50%;$ 16860.77
28153;paroxetina;PSICOASTEN 40 MG;40 mg comp.rec.x 30;Beta;$ 56064.33;50%;$ 28032.17
21989;pilocarpina;WETOL;comp.rec.x 30;Beta;$ 32215.37;50%;$ 16107.69
