NOMBRE,DROGA,PRESENTACION,LABORATORIO,FORMA,VIA,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED
+50,vit.+asoc.,comp.x 30,ISA,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Energizante psicofísico, , 
100% WHEY PROTEIN,proteínas de suero de leche,chocolate x 907 g,Laboratorio ENA,Granulados,oral,Venta Libre,Suplemento dietario, , 
100% WHEY PROTEIN,proteínas de suero de leche,frutilla x 907 g,Laboratorio ENA,Granulados,oral,Venta Libre,Suplemento dietario, , 
100% WHEY PROTEIN,proteínas de suero de leche,vainilla x 907 g,Laboratorio ENA,Granulados,oral,Venta Libre,Suplemento dietario, , 
102 FOCUS,magnesio+asoc.,comp. rec. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MAGNESIO,vit.+minerales+asoc.,comp. rec. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MAGNESIO CITRATO,magnesio citrato,comp. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MAGNESIO GUMMIES,magnesio+asoc.,gomitas x 90,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 MUJER,vit.+minerales,cáps.bl.x 30,Laboratorio Gramon,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
102 PLUS,vit.+minerales,comp.x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 PLUS,vit.+minerales,comp.x 60,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 PLUS,vit.+minerales,comp.x 90,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 PLUS EFERVESCENTE,vit.+minerales,sob.x 15,Laboratorio Gramon,Granulados,oral,Venta Libre,Suplemento dietario, , 
102 SPORT BCAA,vit.+minerales,sob.x 30,Laboratorio Gramon,Granulados,oral,Venta Libre,Suplemento dietario, , 
102 VITAMINA C,vit.+asoc.,comp.rec. x 30,Laboratorio Gramon,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Suplemento dietario, , 
102 VITAMINA C,vit.+asoc.,sobres x 30,Laboratorio Gramon,Granulados,oral,Venta Libre,Suplemento dietario, , 
3 TC,lamivudina,sol.x 240 ml,GlaxoSmithKline Biopharma,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4108371,255911000221103
3 TC,lamivudina,150 mg comp.rec.x 60,GlaxoSmithKline Biopharma,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4108451,121201000221105
3 TC + AZT ELEA,lamivudina+zidovudina,comp.x 60,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4754931,113251000221103
3 TC COMPLEX,lamivudina+zidovudina,comp.rec.x 60,GlaxoSmithKline Biopharma,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,4408181,243981000221108
4 x 4,sildenafil,50 mg comp.rec.x 4,ISA,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Trat.disfunción sexual masc.,5159542,208461000221108
5 FU,fluorouracilo,ung.x 20 g,Cassará,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Bajo Receta Archivada,Antineoplásico,6747551, 
5-ASA 1000,mesalazina,1 g sob.x 30,Domínguez,Granulados,oral,Venta Bajo Receta,Antiinflam.intestinal,6393421,255921000221108
5-ASA 1000,mesalazina,1 g sup.x 30,Domínguez,Supositorios,rectal,Venta Bajo Receta,Antiinflam.intestinal,6770711, 
5-ASA 2000,mesalazina,2 g sob.x 30,Domínguez,Granulados,oral,Venta Bajo Receta,Antiinflam.intestinal,6393551,255931000221106
5-ASA 400,mesalazina,400 mg sup.x 10,Domínguez,Supositorios,rectal,Venta Bajo Receta,Antiinflam.intestinal,3314131,135481000221104
5-ASA 400,mesalazina,400 mg comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,3313721,95941000221101
5-ASA 400,mesalazina,400 mg sup.x 30,Domínguez,Supositorios,rectal,Venta Bajo Receta,Antiinflam.intestinal,3314132,135501000221106
5-ASA 400,mesalazina,400 mg comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,3313722,95951000221104
5-ASA 4000,mesalazina,4 g sob.x 30,Domínguez,Granulados,oral,Venta Bajo Receta,Antiinflam.intestinal,6655681,432411000221103
5-ASA 500,mesalazina,500 mg comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,5820131,109671000221106
5-ASA 500,mesalazina,500 mg comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,5820132,109931000221100
5-ASA 800,mesalazina,800 mg comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,5820001,145521000221100
5-ASA 800,mesalazina,800 mg comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,5820002,96271000221108
5XR 1000,mesalazina,1000 mg comp.x 30,Ariston,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,6680841,508871000221107
5XR 1000,mesalazina,1000 mg comp.x 60,Ariston,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiinflam.intestinal,6680842,508881000221105
5XR 500,mesalazina,500 mg comp.x 50,Ariston,Cáps./Comp. de Liberación Controlada,oral,Venta Bajo Receta,Antiinflam.intestinal,5895421,185681000221107
5XR 500,mesalazina,500 mg comp.x 100,Ariston,Cáps./Comp. de Liberación Controlada,oral,Venta Bajo Receta,Antiinflam.intestinal,5895422,185691000221105
8 HORAS,eszopiclona,2 mg comp.x 30,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Hipnótico,5624002,201401000221101
8 HORAS,eszopiclona,3 mg comp.x 30,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Hipnótico,5624131,194711000221108
A ACIDO,"retinoico,ác.",0.05% cr.x 10 g,Domínguez,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Bajo Receta,Queratolítico,2168891,255951000221102
A ACIDO,"retinoico,ác.",0.1% cr.x 10 g,Domínguez,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Bajo Receta,Queratolítico,2168971,255941000221104
A ACIDO,"retinoico,ác.",0.2% cr.x 10 g,Domínguez,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Bajo Receta,Queratolítico,2062361,255961000221100
A ACIDO EMOLIENTE,"retinoico,ác.",0.025% cr.x 30 g,Domínguez,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Bajo Receta,Queratolítico,3444242,255971000221109
A ACIDO VITAL,"retinoico,ác.",cr.x 30 g,Domínguez,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Bajo Receta,Queratolítico,3068041,255981000221107
A-VITEL,vit.a,100000 UI cr.pomo x 50 g,Medipharma,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Reconstituyente dérmico, ,261511000221101
A-VITEL,vit.a,100000 UI cr.pomo x 100g,Medipharma,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Reconstituyente dérmico, ,261491000221109
A-VITEL,vit.a,100000 UI cr.x 200 g,Medipharma,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Reconstituyente dérmico,4383004,261501000221104
A-VITEL E,vit.a+vit.e,cr.pomo x 100 g,Medipharma,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Nutriente dérmico, ,261521000221106
ABACAVIR ELEA,abacavir,300 mg comp.rec.x 60,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral contra HIV,5094051,100181000221106
ABARAX,benznidazol,50 mg comp.x 100,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antichagásico,6149681,170001000221105
ABARAX,benznidazol,100 mg comp.x 100,Elea,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antichagásico,6149711,153841000221108
ABAXON,rivaroxabán,10 mg x 10 comp.rec.,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antitrombótico,6687847,449911000221101
ABAXON,rivaroxabán,2.5 mg x 30 comp.rec.,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antitrombótico,6688002,445321000221108
ABAXON,rivaroxabán,15 mg x 30 comp.rec.,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antitrombótico,6687972,445311000221103
ABAXON,rivaroxabán,10 mg x 30 comp.rec.,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antitrombótico,6687842,445301000221101
ABAXON,rivaroxabán,20 mg x 30 comp.rec.,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antitrombótico,6687712,445291000221102
ABELCET,anfotericina b complejo lipídico,100 mg f.a.x 20 ml,Teva Argentina,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta Archivada,Antibiótico Antimicótico,4809631,255991000221105
ABINTRA,arginina+asoc.,sob.x 27 g,B-Life,Batidos/Puré/Jugos/Otros alimentos,oral,Venta Bajo Receta,Alimentos propós.médico específ., , 
ABIRANOVA,"abiraterona,acetato",250 mg comp.x 120,Celnova Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antineoplásico,634100,222621000221105
ABIRATERON-A,"abiraterona,acetato",250 mg comp.x 120,Lafedar,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antineoplásico,6484841,352581000221100
ABIRATERONA GLENMARK,"abiraterona,acetato",250 mg comp.x 120,Glenmark,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antineoplásico,666342,462891000221101
ABLOOM,amlodipina,10 mg comp.x 30,Duncan,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianginoso Antihipertensivo,5394393,139141000221102
ABNOBA VISCUM FRAXINI,viscum album l,0.02 mg iny.a.x 8,GP Pharm,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Coadyuvante en oncología,6240391,256001000221106
ABNOBA VISCUM FRAXINI,viscum album l,0.2 mg iny.a.x 8,GP Pharm,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Coadyuvante en oncología,6240421,256011000221109
ABNOBA VISCUM FRAXINI,viscum album l,2 mg iny.a.x 8,GP Pharm,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Coadyuvante en oncología,6240551,256021000221104
ABNOBA VISCUM FRAXINI,viscum album l,20 mg iny.a.x 8,GP Pharm,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Coadyuvante en oncología,6240861,256031000221101
ABRALUX,"polietileno,microgránulos",cr.x 60 g,Valuge,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Abrasivo de limpieza, , 
ABRIKAT,acalabrutinib,100 mg cáps.x 60,Eczane,Cápsulas/Softgels,oral,Venta Bajo Receta Archivada,Antineoplásico, , 
ABRILADA,adalimumab,40mg/0.8ml lap.prell.x 2,Pfizer,Jeringa prellenada,inyectable SC,Venta Bajo Receta Archivada,Inhib.del factor necrosis tumoral, ,405771000221102
ABRYSVO,antígeno virus sincicial resp.,fco.a.liof.x1+disolv.x1,Pfizer,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable,Venta Bajo Receta,Vacuna contra el virus sincicial respiratorio, ,497651000221108
AC QUAXA,piroctone olamine,shamp.x 200 ml,F & F Farma,Shampoo/Jabón líquido,uso externo,Venta Libre,Anticaspa, , 
ACALASTATERA,acalabrutinib,100 mg cáps.x 60,Jayor,Cápsulas/Softgels,oral,Venta Bajo Receta Archivada,Antineoplásico, , 
ACALIX,diltiazem,60 mg comp.x 50,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianginoso,2766272,161621000221108
ACALIX,diltiazem,90 mg comp.x 50,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianginoso,3064662,161641000221104
ACALIX,diltiazem,120 mg comp.x 50,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianginoso,3064742,161671000221109
ACALIX AP,diltiazem,120 mg cáps.x 30,Roemmers,Cáps./Comp. de Liberación Controlada,oral,Venta Bajo Receta,Antihipertensivo,2828722,112871000221100
ACALIX CRONOS,diltiazem,180 mg cáps.x 30,Roemmers,Cápsulas/Softgels,oral,Venta Bajo Receta,Antianginoso,5468844,246821000221108
ACALIX CRONOS,diltiazem,240 mg cáps.x 30,Roemmers,Cápsulas/Softgels,oral,Venta Bajo Receta,Antianginoso,5468974,246831000221106
ACALIX CRONOS,diltiazem,300 mg cáps.x 30,Roemmers,Cápsulas/Softgels,oral,Venta Bajo Receta,Antianginoso,5469004,246841000221104
ACANTEX,ceftriaxona,500 mg IM f.a.x 1,Siegfried,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM,Venta Bajo Receta Archivada,Antibiótico,6177421,256091000221102
ACANTEX,ceftriaxona,1 g IV f.a.x 1,Siegfried,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta Archivada,Antibiótico,6177681,256071000221103
ACANTEX,ceftriaxona,1 g IM f.a.x 1,Siegfried,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM,Venta Bajo Receta Archivada,Antibiótico,6177551,256061000221107
ACANTEX,ceftriaxona,2 g IV f.a.x 1,Siegfried,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta Archivada,Antibiótico,6177711,256081000221100
ACANTEX,ceftriaxona,1 g IM f.a.x 3,Siegfried,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM,Venta Bajo Receta Archivada,Antibiótico,6177552, 
ACCESORIOS PARA FISTULAS,accesorio,caja x 10 cód.14021,Coloplast,Accesorios medicinales,uso externo,Venta Libre,Accesorios, , 
ACCESORIOS PARA FISTULAS,accesorio,caja x 10 cód.14031,Coloplast,Accesorios medicinales,uso externo,Venta Libre,Accesorios, , 
ACCESORIOS PARA FISTULAS,accesorio,caja x 10 cód.14041,Coloplast,Accesorios medicinales,uso externo,Venta Libre,Accesorios, , 
ACCESORIOS PARA FISTULAS,accesorio,caja x 10 cód.14010,Coloplast,Accesorios medicinales,uso externo,Venta Libre,Accesorios, , 
ACCESORIOS PARA FISTULAS,accesorio,caja x 12 cód.14015,Coloplast,Accesorios medicinales,uso externo,Venta Libre,Accesorios, , 
ACCU-CHEK GUIDE CONTROL,glucosa,solución control x 1,Roche Diabetes,Accesorios medicinales,No Clasificada,Venta Libre,Control glucosa, , 
ACCU-CHEK GUIDE KIT,medidor de glucosa,medidor glucosa x 1,Roche Diabetes,Kit,No Clasificada,No Clasificada,Control glucosa, , 
ACCU-CHEK PERFORMA CONTROL,glucosa,solución control x 1,Roche Diabetes,Accesorios medicinales,No Clasificada,Venta Libre,Control glucosa, , 
ACCU-CHEK SOFTCLIX NEW,accesorio,lancetas x 25,Roche Diabetes,Lancetas/Agujas,No Clasificada,Venta Libre,Accesorios, , 
ACCU-CHEK SOFTCLIX PUNZADOR,accesorio,unid.x 1,Roche Diabetes,Dispositivos especiales/Aplicadores,No Clasificada,Venta Libre,Dispositivos especiales, , 
ACEITE DE ALMENDRAS EWE,aceite de almendras,fco.x 30 ml,Sanitas,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatocosméticos, , 
ACEITE DE ALMENDRAS EWE,aceite de almendras,fco.x 50 ml,Sanitas,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatocosméticos, , 
ACEITE DE ALMENDRAS EWE CON GOTERO,aceite de almendras,fco. gotero x 30 ml,Sanitas,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatocosméticos, , 
ACEITE DE ARGAN EWE,aceite de argán+vit.e,env.x 50 ml,Sanitas,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatocosméticos, , 
ACEITE DE COCO NEUTRO,aceite de coco,fco.x 360 ml,San Ceferino,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatológico, , 
ACEITE DE COCO NEUTRO,aceite de coco,fco.x 660 ml,San Ceferino,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatológico, , 
ACEITE DE JOJOBA EWE,aceite de jojoba,fco.x 30 ml,Sanitas,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatocosméticos, , 
ACEITE DE KRILL,aceite de krill,cáps.x 60,Innovapharma,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE LAVANDA EWE,producto cosmético,fco.x 8 ml,Sanitas,Solución de uso externo/Loción,uso externo,Venta Libre,Dermatocosméticos, , 
ACEITE DE LORENZO,aceite glicerol trioleato,env.x 500 ml,AMN,Batidos/Puré/Jugos/Otros alimentos,oral,Venta Bajo Receta,Alimentos propós.médico específ., , 
ACEITE DE OREGANO,aceite de orégano+asoc,env.x 30 ml,Provefarma,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE PESCADO 1000,aceite de pescado+asoc.,cáps.blandas x 30,Provefarma,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE PESCADO 1000,aceite de pescado+asoc.,cáps.blandas x 60,Provefarma,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE PESCADO GARDEN HOUSE,aceite de pescado,cáps.x 20,Garden House Argentina,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE PESCADO GARDEN HOUSE,aceite de pescado,cáps.x 30,Garden House Argentina,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE PESCADO GARDEN HOUSE,aceite de pescado,cáps.x 60,Garden House Argentina,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE PESCADO OMEGANAT,aceite de pescado,cáps. blandas x 60,Provefarma,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACEITE DE RICINO EWE,"ricinoleico,ác.triglicérido",fco.x 30 ml,Sanitas,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Libre,Laxante, , 
ACEITE DE RICINO EWE,"ricinoleico,ác.triglicérido",fco.x 50 ml,Sanitas,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Libre,Laxante, , 
ACEITE DE TEA TREE OIL EWE,aceite de tea tree,fco.x 20 ml,Sanitas,Solución de uso externo/Loción,oral,Venta Libre,Dermatocosméticos, , 
ACEITE ESMERALDA MOONE,"alcanfor+metilo,salicilato+asoc.",frasco x 70 ml,Laboratorio Dicofar,Solución de uso externo/Loción,uso externo,Venta Libre,Antiinflam.Antirreumático, ,373701000221105
ACEMUK,acetilcisteína,600 mg tab.eferv.x 5,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Mucolítico, ,169601000221102
ACEMUK,acetilcisteína,200 mg tab.eferv.x 10,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Mucolítico,4323943,161761000221106
ACEMUK,acetilcisteína,200mg (VL) tab.eferv.x10,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Libre,Mucolítico, , 
ACEMUK,acetilcisteína,600 mg tab.eferv.x 10,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Mucolítico,4324010,182831000221101
ACEMUK,acetilcisteína,600 mg tab.eferv.x 12,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Mucolítico,4324015, 
ACEMUK,acetilcisteína,600 mg tab.eferv.x 20,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Mucolítico,4324011,121771000221107
ACEMUK,acetilcisteína,600 mg tab.eferv.x 60,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Mucolítico,4324013,121781000221105
ACEMUK BIOTIC,amoxicilina+acetilcisteína,500/200 mg sob.x 21,Siegfried,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta Archivada,Antibiótico Mucolítico,3990573, 
ACEMUK BIOTIC DUO,amoxicilina+acetilcisteína,comp.rec.x 14,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antibiótico Mucolítico,5615554,107791000221106
ACEMUK DIA Y NOCHE,acetilcisteína+paracet.+asoc.,comp.eferv.x 16,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antigripal,5916002,176391000221100
ACEMUK GRIP,acetilcisteína+paracet.+asoc.,comp.eferv.x 10,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antigripal,6749551, 
ACEMUK JARABE,acetilcisteína,jbe.x 100 ml,Siegfried,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta,Mucolítico,4837351,256101000221105
ACEMUK L,acetilcisteína+tirotricina+asoc.,comp.x 20,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antibiótico Mucolítico,5752684,240071000221103
ACENOCOUMAROL ROSPAW,acenocumarol,4 mg comp.x 20,Rospaw,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Anticoagulante,558468,183231000221105
ACERPES,aciclovir,5% cr.x 5 g,Siegfried,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Antiviral,4511622,256121000221103
ACERPES,aciclovir,400 mg comp.x 20,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral,4511883,162551000221106
ACERPES,aciclovir,800 mg comp.x 20,Siegfried,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antiviral,4511963,162571000221104
ACETA,acetazolamida,250 mg comp.x 20,Novoplos,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiglaucomatoso,6209711,228621000221107
ACI-TIP,magaldrato+simeticona,susp.x 200 ml,Siegfried,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta,Antiácido Antiflatulento,3086942,256251000221104
ACICLOVIR GEMEPE,aciclovir,500 mg f.a.x 50 x 20 ml,Gemepe,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta Archivada,Antiviral, ,325981000221100
ACICLOVIR PHARMAVIAL 500,aciclovir,500 mg f.a.x 50 E.H.,IBC,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Libre,Antiviral, , 
ACICLOVIR PHARMAVIAL 500,aciclovir,500 mg f.a.x 100 E.H.,IBC,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Libre,Antiviral, ,256141000221107
ACIDO FOLICO RICHMOND,"fólico,ác.",1 mg comp.x 60,Richmond,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,4582091,112421000221103
ACIDO FOLICO RICHMOND,"fólico,ác.",5 mg comp.x 60,Richmond,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,4582251,112441000221107
ACIDO FOLICO VANNIER,"fólico,ác.",10 mg comp.x 30,Vannier,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,4537121,110941000221104
ACIDO FOLICO VANNIER,"fólico,ác.",1 mg comp.x 30,Vannier,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,453738,111001000221106
ACIDO FOLICO VANNIER,"fólico,ác.",5 mg comp.x 30,Vannier,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,4537201,110971000221109
ACIDO HIALURONICO,"hialurónico,ác.+asoc.",cáps. x 30,Provefarma,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACIDO HIALURONICO VITAMIN WAY,"hialurónico,ác.+asoc.",cáps.x 30,Pharmamerican S.R.L.,Cápsulas/Softgels,oral,Venta Libre,Suplemento dietario, , 
ACIDO ZOLEDRONICO IMA,"zoledrónico,ác.",4 mg pvo.liof.x 1+solv.,IMA,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Inhibidor resorc.osteoclástica,580197,256161000221106
ACIDO ZOLEDRONICO MICROSULES,"zoledrónico,ác.",4 mg iny.liof.x 1+solv.,Microsules Arg.,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Inhibidor resorc.osteoclástica,5499261,256171000221102
ACIDO ZOLEDRONICO RICHET,"zoledrónico,ác.",4mg/5ml liof.f.a.x1+solv,Richet,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,Venta Bajo Receta,Inhibidor resorc.osteoclástica,5704391,256181000221104
ACIFOL,"fólico,ác.",1 mg comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,3444321,253101000221102
ACIFOL,"fólico,ác.",1 mg comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,3444322,253111000221104
ACIFOL 10,"fólico,ác.",10 mg comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,4465431,251771000221105
ACIFOL 10,"fólico,ác.",10 mg comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,4465432,251781000221108
ACIFOL 5,"fólico,ác.",5 mg comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,3978451,253121000221109
ACIFOL 5,"fólico,ác.",5 mg comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,3978452,253131000221107
ACIFOL B12,"fólico,ác.+vit.b",comp.x 30,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,5097631,140691000221107
ACIFOL B12,"fólico,ác.+vit.b",comp.x 60,Domínguez,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antianémico,5097632,140701000221107
