NOMBRE,DROGA,PRESENTACION,LABORATORIO,FORMA,VIA,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED
ATEROCLAR COMBI,atorvastatín+ezetimibe,20/10 mg comp.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5735552,242721000221103
ATERONOVA,rosuvastatina,10 mg comp.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5238712,100081000221105
ATERONOVA,rosuvastatina,20 mg comp.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5238872,100571000221101
ATERONOVA,rosuvastatina,40 mg comp.x 30,Beta,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipocolesterolemiante,5238922, 
ATEXA,tofacitinib,5 mg comp.rec.x 60,Finadiet,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Inhibidor de la janus quinasa,6659841,430471000221108
ATHOS,hedera helix,jbe.x 100 ml,Roemmers,Jarabe/Suspensión oral/Polvo para uso oral,oral,Venta Bajo Receta,Antitusivo Mucolítico,4881811,261111000221106
ATIBAX,ciprofloxacina,500 mg comp.x 90,Fabop,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antibiótico,4690242,193081000221103
ATIPINA 100,quetiapina,100 mg comp.rec.x 30,Megalabs Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antipsicótico,5737713,216511000221105
ATIPINA 200,quetiapina,200 mg comp.rec.x 30,Megalabs Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antipsicótico,5737681,149161000221104
ATIPINA 25,quetiapina,25 mg comp.rec.x 30,Megalabs Argentina,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta Archivada,Antipsicótico,5737843,216531000221102
ATLANSIL,amiodarona,comp.x 20,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiarrítmico,2848361,120271000221106
ATLANSIL,amiodarona,comp.x 50,Roemmers,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antiarrítmico,2848362,120281000221109
ATOMO ACEITE CBD,cannabidiol+asoc.,env.x 120 ml,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Aceite para masajes musculares, , 
ATOMO ACEITE VERDE,"alcanfor+metilo,salicilato+asoc.",env.x 120 ml,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Aceite para masajes musculares, , 
ATOMO ARNICA GEL,arnica montana+asoc.,gel x 30 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Antiinflam.tópico, , 
ATOMO ARNICA POTE,arnica montana+asoc.,pote x 80 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Antiinflam.tópico, , 
