NOMBRE,DROGA,PRESENTACION,LABORATORIO,PRECIO,PRECIOPAMI,FORMA,VIA,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED,GTIN1,C_BARRA,IMPORTADO,D_MARCA_CONTROLADO
DECIDEX COMPUESTO GRIP,paracetamol+clorfeniramina+asoc.,comp.rec.x 20,Roemmers,8722,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,20,unidades,Venta Bajo Receta,Analgésico Descongestivo,6367423,223231000221103,07795345002798,7795345002798,Nacional,NO CONTROLADO
DECIDEX GRIP,paracetamol+fenilefrina+asoc.,comp.rec.x 10,Roemmers,6293,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,10,unidades,Venta Libre,Descongestivo Antifebril, ,227301000221109,07795345002774,7795345002774,Nacional,NO CONTROLADO
DECIDEX GRIP T FORTE,paracetamol+fenilefrina,sob.x 10 x 5 g,Roemmers,28479,0,Granulados,oral,,mg,10,unidades de 5 g,Venta Libre,Analgésico Descongestivo, , ,7795345125213,7795345125213,Importado,NO CONTROLADO
DECIDEX GRIP T FORTE,paracetamol+fenilefrina,sob.x 40 x 5 g,Roemmers,112232,0,Granulados,oral,,mg,40,unidades de 5 g,Venta Libre,Analgésico Descongestivo, , ,7795345125220,7795345125220,Importado,NO CONTROLADO
DECIDEX PLUS,loratadina+pseudoefedrina,sol.x 60 ml,Roemmers,8644,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,mg/5 ml,1,unidades de 60 ml,Venta Bajo Receta,Antialérgico Descongestivo,4131541,271291000221102,07795345009957,7795345009957,Nacional,NO CONTROLADO
DECIDEX PLUS,loratadina+pseudoefedrina,cáps.x 10,Roemmers,10209,0,Cápsulas/Softgels,oral,,mg,10,unidades,Venta Bajo Receta,Antialérgico Descongestivo,4520031,114841000221104,07795345010045,7795345010045,Nacional,NO CONTROLADO
DECILINA,ampicilina,1000 mg f.a.x 100,Klonal,1478498,0,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM/IV,,mg,100,unidades,Venta Bajo Receta Archivada,Antibiótico, ,271301000221101,07795360005217,7795360005217,Nacional,VENTA VIGILADA
DECILINA COMPUESTA,ampicilina+sulbactam,1.5 g  f.a.x 50,Klonal,899796,0,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IM/IV,,mg,50,unidades,Venta Bajo Receta Archivada,Antibiótico, ,271321000221108,07795360000281,7795360000281,Nacional,VENTA VIGILADA
DECITON,dutasteride,0.5 mg comp.x 30,Eurolab,56380,42118,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Inhibidor de la conv.testost.,5868711,253351000221100,07798122341066,7795367002462,Nacional,NO CONTROLADO
DECNOV,dexlansoprazol,30 mg cáps.lib.prol.x 30,Eurofarma,38618,0,Cápsulas/Softgels,oral,,mg,30,unidades,Venta Bajo Receta,Antiulceroso,6786391, ,7798016922920,7798016922920,Nacional,NO CONTROLADO
DECNOV,dexlansoprazol,60 mg cáps.lib.prol.x 30,Eurofarma,55352,0,Cápsulas/Softgels,oral,,mg,30,unidades,Venta Bajo Receta,Antiulceroso,6786421, ,7798016922937,7798016922937,Nacional,NO CONTROLADO
DEFAS,deflazacort,6 mg comp.x 20,Rontag,29561,23872,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Antiinflam.Corticosteroide,3931162,377531000221100,07798239770544,7798239770544,Nacional,NO CONTROLADO
DEFAS,deflazacort,30 mg comp.x 20,Rontag,129863,114213,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Antiinflam.Corticosteroide,3931242,377521000221103,07798239770568,7798239770568,Nacional,NO CONTROLADO
DEFERADE,deferasirox,125 mg comp.dispers. x28,Tuteur,1048596,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,28,unidades,Venta Bajo Receta,Quelante, ,251511000221108,07793397051795,7793397051795,Nacional,NO CONTROLADO
DEFERADE,deferasirox,250 mg comp.dispers. x28,Tuteur,2097214,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,28,unidades,Venta Bajo Receta,Quelante, ,251491000221100,07793397051801,7793397051801,Nacional,NO CONTROLADO
DEFERADE,deferasirox,500 mg comp.dispers. x28,Tuteur,4194401,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,28,unidades,Venta Bajo Receta,Quelante, ,251501000221105,07793397051818,7793397051818,Nacional,NO CONTROLADO
DEGLUCARE,maltodextrina+asoc.,env. x 300 g,Nutri Care,62170,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,No Clasificada,1,unidades de 300 g,Venta Libre,Producto alimenticio, , ,7798439830031,7798439830031,Nacional,NO CONTROLADO
DEKAS PLUS,vit.a+vit.d+vit.e+vit.k,gts.orales x 60 ml,Gador,224210,0,Gotas orales,oral,,mg,1,unidades de 60 ml,No Clasificada,Trat.nutricional de pacientes fibroquísticos, , ,7792183489927,7792183489927,Nacional,NO CONTROLADO
DEKAS PLUS,vit.a+vit.d+vit.e+vit.k,comp.mast.x 60,Gador,224210,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,No Clasificada,Trat.nutricional de pacientes fibroquísticos, , ,7792183489910,7792183489910,Nacional,NO CONTROLADO
DEKAS PLUS,vit.a+vit.d+vit.e+vit.k,cáps.bl.x 60,Gador,224297,0,Cápsulas/Softgels,oral,,mg,60,unidades,No Clasificada,Trat.nutricional de pacientes fibroquísticos, , ,7792183489903,7792183489903,Nacional,NO CONTROLADO
DELAK,oxibutinina,comp.x 20,Raffo,20123,13442,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Antiespasmódico vesical,3371562,105261000221102,07798084681484,7798084681484,Nacional,NO CONTROLADO
DELAK,oxibutinina,comp.x 30,Raffo,32179,18790,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Antiespasmódico vesical,3371563,123581000221102,07798084680012,7798084680012,Nacional,NO CONTROLADO
DELAK,oxibutinina,comp.x 60,Raffo,53642,36111,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,60,unidades,Venta Bajo Receta,Antiespasmódico vesical,3371565,123591000221104,07798084680029,7798084680029,Nacional,NO CONTROLADO
DELGAX CLA,"linoleico,ác.conjugado",cáps.blandas x 60,Provefarma,30870,0,Cápsulas/Softgels,oral,,No Clasificada,60,unidades,Venta Libre,Suplemento dietario, , ,7798119960645,7798119960645,Nacional,NO CONTROLADO
DELGAX PLUS,garcinia cambogia+asoc.,comp.rec.x 30,Provefarma,13845,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,No Clasificada,30,unidades,Venta Libre,Suplemento dietario, , ,7798119961116,7798119961116,Nacional,NO CONTROLADO
DELIER AGUA MICELAR,urea+asoc.,sol. x 240 ml,Delier,17933,0,Solución de uso externo/Loción,uso externo,,No Clasificada,1,unidades de 240 ml,Venta Libre,Higiene de la piel, , ,7798375720014,7798375720014,Nacional,NO CONTROLADO
DELIER CREMA HIDRATANTE,urea+asoc.,env. x 100 ml,Delier,20222,0,Cremas/Geles/Pomadas/Ungüentos,uso externo,,No Clasificada,1,unidades de 100 ml,Venta Libre,Higiene de la piel, , ,7798375720038,7798375720038,Nacional,NO CONTROLADO
DELIER EMULSION CORPORAL,avena+asoc.,env. x 200 ml,Delier,18829,0,Cremas/Geles/Pomadas/Ungüentos,uso externo,,No Clasificada,1,unidades de 200 ml,Venta Libre,Higiene de la piel, , ,7798375720045,7798375720045,Nacional,NO CONTROLADO
DELIER GEL DE LIMPIEZA,vit.b3+asoc.,env. x 200 ml,Delier,17933,0,Cremas/Geles/Pomadas/Ungüentos,uso externo,,No Clasificada,1,unidades de 200 ml,Venta Libre,Higiene de la piel, , ,7798375720069,7798375720069,Nacional,NO CONTROLADO
DELIER GEL HIDRATANTE,vit.b3+asoc.,env. x 100 ml,Delier,20222,0,Cremas/Geles/Pomadas/Ungüentos,uso externo,,No Clasificada,1,unidades de 100 ml,Venta Libre,Higiene de la piel, , ,7798375720076,7798375720076,Nacional,NO CONTROLADO
DELIER LECHE DE LIMPIEZA,agua termal+asoc.,env. x 200 ml,Delier,20111,0,Emulsiones/Leches de Limpieza,uso externo,,No Clasificada,1,unidades de 200 ml,Venta Libre,Higiene de la piel, , ,7798375720083,7798375720083,Nacional,NO CONTROLADO
DELIER TONICO 3X1,vit.c+vit.e+asoc.,sol. x 200 ml,Delier,17169,0,Solución de uso externo/Loción,uso externo,,No Clasificada,1,unidades de 200 ml,Venta Libre,Higiene de la piel, , ,7798375720090,7798375720090,Nacional,NO CONTROLADO
DELORAT,desloratadina,5mg/10ml jbe.x 50 ml,Lazar,10466,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,mg/5 ml,1,unidades de 50 ml,Venta Bajo Receta,Antialérgico Antihistamínico,3054261,271331000221106,07795347972716,7795347972716,Nacional,NO CONTROLADO
DELORAT,desloratadina,5 mg comp.rec.x 14,Lazar,12852,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,14,unidades,Venta Bajo Receta,Antialérgico Antihistamínico,3054182,182991000221107,07795347920533,7795347920533,Nacional,NO CONTROLADO
DELORAT B,desloratadina+betametasona,jbe.x 60 ml,Lazar,14169,0,Jarabe/Suspensión oral/Polvo para uso oral,oral,,mg/ml,1,unidades de 60 ml,Venta Bajo Receta,Antialérgico Antiinflamatorio Antihistamínico,6527131,375291000221107,07795347920595,7795347920595,Nacional,NO CONTROLADO
DELORAT B,desloratadina+betametasona,comp.rec.x 10,Lazar,11824,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,10,unidades,Venta Bajo Receta,Antialérgico Antiinflamatorio Antihistamínico,6527001,375301000221108,07795347920588,7795347920588,Nacional,NO CONTROLADO
DELSTRIGO,doravirina+lamivudina+tenofovir disoproxil,comp.rec.x 30,MSD Argentina SRL,941108,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta Archivada,Antiviral contra HIV,6573421,375311000221106,07793081098426,7793081098426,Importado,VENTA VIGILADA
DELTACORT,meprednisona,8 mg comp.x 10,Medisol,9200,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,10,unidades,Venta Bajo Receta,Corticosteroide,5117912,232311000221106,07795373000650,7795373000650,Nacional,NO CONTROLADO
DELTACORT,meprednisona,40 mg comp.x 20,Cassará,47760,0,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Corticosteroide,5118113,329761000221107,07795373000537,7795373000537,Nacional,NO CONTROLADO
DELTAR,prednisolona+fenilefrina,susp.oft.x 10 ml,Elea,34399,16689,Gotas oftálmicas/Colirios,uso externo,,mg %,1,unidades de 10 ml,Venta Bajo Receta,Antiinflam.Descongestivo,5344841,271341000221104,07796285254971,7791848381019,Nacional,NO CONTROLADO
DELTISONA B,meprednisona,gts.x 20 ml,Elea,10920,10445,Gotas orales,oral,,mg/ml,1,unidades de 20 ml,Venta Bajo Receta,Corticosteroide,519963,271351000221102,07796285286736,7795312020664,Nacional,NO CONTROLADO
DELTISONA B,meprednisona,4 mg comp.x 20,Elea,10971,9006,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Corticosteroide,517304,132241000221104,07796285286705,7795312001946,Nacional,NO CONTROLADO
DELTISONA B,meprednisona,8 mg comp.x 20,Elea,25677,20714,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta,Corticosteroide,520852,104721000221101,07796285286712,7795312001953,Nacional,NO CONTROLADO
DELTISONA B,meprednisona,40 mg comp.x 20,Elea,52686,52686,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,20,unidades,Venta Bajo Receta Archivada,Corticosteroide,1768272,132561000221103,07796285286729,7795312001960,Nacional,NO CONTROLADO
DELTROX,"ibandrónico,ác.",150 mg comp.rec.x 1,Siegfried,45730,26729,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,1,unidades,Venta Bajo Receta,Inhibidor resorc.osteoclástica,5655391,219391000221102,07798129415524,7795380002074,Nacional,NO CONTROLADO
DEMACORT,hidrocortisona,cr.x 15 g,Andrómaco,16395,11038,Cremas/Geles/Pomadas/Ungüentos,uso externo,,g/100 g,1,unidades de 15 g,Venta Bajo Receta,Antiinflam.Antipruriginoso,5080311,271371000221109,07793742000027,7793742000027,Nacional,NO CONTROLADO
DEMPI,empagliflozina,10 mg comp.rec.x 30,Eurofarma,96819,93059,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Hipoglucemiante oral,6796971, ,7798016922999,7798016922999,Nacional,NO CONTROLADO
DEMPI,empagliflozina,25 mg comp.rec.x 30,Eurofarma,102870,98876,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Hipoglucemiante oral,6797001, ,7798016923002,7798016923002,Nacional,NO CONTROLADO
DENCILOX,cilostazol,100 mg comp.x 30,Denver Farma,38521,32951,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta,Antitrombótico Vasodilatador,5475551,144451000221106,07798050063665,7798050063665,Nacional,NO CONTROLADO
DENDRITEX 100,quetiapina,100 mg comp.trirran.x 30,Temis-Lostaló,97176,96484,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta Archivada,Antipsicótico,6143261,252401000221101,07795337900767,7795337900767,Nacional,VENTA VIGILADA
DENDRITEX 25,quetiapina,25 mg comp.rec.x 30,Temis-Lostaló,58622,58622,Comprimidos/Pastillas/Tabletas/Grageas,oral,,mg,30,unidades,Venta Bajo Receta Archivada,Antipsicótico,6097972,103941000221105,07795337900750,7795337900750,Nacional,VENTA VIGILADA
DENPRU,protamina,10 mg/ml a.x 50 x 5 ml,Fada Pharma,2769983,0,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable IV,,UI/ml,50,unidades de 5 ml,Venta Bajo Receta Archivada,Antiheparínico, ,271381000221107,07793569003508,7793569003508,Nacional,NO CONTROLADO
DENSULIN ISOFANA,insulina humana isofana,100 UI lap.prellx5x3ml,Denver Farma,200564,0,Jeringa prellenada,inyectable SC,,UI/ml,5,unidades de 3 ml,Venta Bajo Receta,Hipoglucemiante, ,509441000221109,07798050064396,7798050064396,Nacional,NO CONTROLADO
DENSULIN N,insulina humana,lap. prell. x 5 x 3 ml,Denver Farma,200564,0,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,inyectable SC,,No Clasificada,5,unidades de 3 ml,Venta Bajo Receta,Hipoglucemiante, , ,7798050064303,7798050064303,Nacional,NO CONTROLADO
DENSULIN REGULAR,insulina humana,100 UI lap.prellx5x3ml,Denver Farma,200564,0,Jeringa prellenada,inyectable SC,,UI/ml,5,unidades de 3 ml,Venta Bajo Receta,Hipoglucemiante, ,509451000221106,07798050064402,7798050064402,Nacional,NO CONTROLADO
